"site","record_type","year","month","day","running_day_of_project","julian_day","pH_air_eqll","anc_ueq_L","spec_conductance_us_cm","apparent_color_pcu","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","Cl_ueq_L","NO3_ueq_L","SO4_ueq_L","Si_mg_L","NH4_ueq_L","Al_ppb","volume_mL","vol_converted_to_depth_mm","belfort_gage_depth_mm","comment","campbell_depth_in","total_P_ppb","total_N_ppm"
"AERSU","REG",1990,8,28,1701,240,,,21.5,3,10.5,9.9,0.5,1.3,40,15.9,16,,1.7,1.55,117.9,1.74,0.508,,,,
"AERCA","REG",1990,9,4,1708,247,3.96,-117.9,57.4,,10,2.5,1,2.2,4,42.6,124,,37.1,0.48,645.8,9.51,8.89,,,,
"AEREA","REG",1990,9,4,1708,247,3.94,-122.7,57.9,10,9,2.5,0.5,1.7,3,41.6,128,,36.6,0.48,547.5,8.06,7.874,,,,
"AERSU","REG",1990,9,4,1708,247,3.93,-121.9,59.2,10,10.5,3.3,0.8,2.2,4,45.6,129,,39.3,0.44,592.9,8.73,5.842,,,,
"AERCA","REG",1990,9,11,1715,254,3.99,-115.1,57,5,2,2.5,0.5,8.3,12,37.7,103,,28.8,0.19,1581.7,23.3,22.86,,,,
"AEREA","REG",1990,9,11,1715,254,3.95,-120.6,57.6,5,3,3.3,0.5,11.3,16,39.2,109,,29.4,0.22,1449.2,21.35,18.542,,,,
"AERSU","REG",1990,9,11,1715,254,3.97,-113.4,59.9,5,3,2.5,0.3,7.4,12,36.3,100,,28.3,0.26,1424.5,20.98,17.526,,,,
"AERCA","REG",1990,9,18,1722,261,4.35,-48.9,25.3,5,2.5,4.1,0.5,13.9,15,16.6,48,,15.5,0.26,1124.5,16.56,11.43,,,,
"AEREA","REG",1990,9,18,1722,261,4.43,-41.8,21.8,5,2.5,4.1,0.5,17,20,11.5,44,,12.7,0.19,1015,14.95,13.462,,,,
"AERSU","REG",1990,9,18,1722,261,4.7,-21.7,11.2,4,2.5,2.5,0.3,3.9,8,7.2,19,,3.3,0.26,324.8,4.78,0.762,,,,
"AERCA","REG",1990,9,25,1729,268,4.92,-15,6.8,3,1,0.8,1.3,3,5,3.5,11,,1.7,0.11,4444.7,65.47,69.85,,,,
"AEREA","REG",1990,9,25,1729,268,4.81,-16.3,7.4,5,1,0.8,0.5,2.6,4,3.7,13,,1.1,0.11,4249.1,62.59,59.69,,,,
"AERSU","REG",1990,9,25,1729,268,4.48,-35.3,14.8,2,1,0.8,0.8,1.7,2,9.2,27,,2.2,0.15,994,14.64,56.134,,,,
"AERCA","REG",1990,10,2,1736,275,4.03,-105.5,59,5,40.4,36.2,3.3,10,16,60,134,,18.3,0.78,650.5,9.58,11.43,,,,
"AEREA","REG",1990,10,2,1736,275,3.84,-160.4,73.9,5,5,3.3,0.8,11.3,14,61.4,129,,30.5,0.37,617,9.09,10.16,,,,
"AERSU","REG",1990,10,2,1736,275,3.85,-156.9,72.5,4,6.5,4.1,1,11.7,14,61.7,129,,29.4,0.52,522,7.69,0,,,,
"AERCA","REG",1990,10,9,1743,282,5.1,-8.2,12.5,33,18.5,14,15.3,10.4,17,12.7,32,,0,0.19,1413.1,20.81,22.606,,,,
"AEREA","REG",1990,10,9,1743,282,5.61,5.9,11.2,40,18,14,16.1,9.6,14,12.4,30,,1.1,0.15,1492,21.98,14.478,,,,
"AERSU","REG",1990,10,9,1743,282,4.69,-26.2,13.8,10,3.5,2.5,3.8,6.1,9,11.6,25,,7.2,0.15,1046,15.41,12.446,,,,
"AERCA","REG",1990,10,16,1750,289,4.54,-35.1,21.3,14,12.5,12.3,2.3,23.1,26,27.2,32,,5,0.3,1562.2,23.01,25.908,,,,
"AEREA","REG",1990,10,16,1750,289,4.41,-47.3,24.1,5,3,5.8,0.5,23.9,28,25.8,29,,6.6,0.26,1511,22.26,16.51,,,,
"AERSU","REG",1990,10,16,1750,289,4.44,-44.7,23.2,4,3.5,6.6,0.5,25.7,31,23.3,30,,6.1,0.33,1339,19.72,14.224,,,,
"AERCA","REG",1990,10,23,1757,296,4.75,-20.2,14.7,3,5,8.2,2.3,32.2,38,10.8,19,,4.4,0.15,767.6,11.31,10.922,,,,
"AEREA","REG",1990,10,23,1757,296,4.71,-20.9,14.3,2,3,6.6,1.3,28.3,33,9,18,,4.4,0.11,732.3,10.79,10.16,,,,
"AERCA","REG",1990,10,30,1764,303,4.78,-13.8,10.3,8,1.5,4.1,0.5,15.7,20,4.2,13,,3.3,0.07,4496.6,66.23,66.04,,,,
"AEREA","REG",1990,10,30,1764,303,4.75,-13.8,10.7,8,1,4.1,0.5,17,20,4.6,15,,3.3,0.11,4374.8,64.44,64.77,,,,
"AERCA","REG",1990,11,6,1771,310,4.35,-48.7,23.1,3,7,3.3,0,8.3,12,18.2,38,,8.9,0.37,604.4,8.9,10.16,,,,
"AEREA","REG",1990,11,6,1771,310,4.43,-40.3,18.6,4,5.5,1.6,0.3,5.7,7,15,32,,10,0.22,674.3,9.93,2.54,,,,
"AERSU","REG",1990,11,6,1771,310,4.37,-46.9,21.3,6,7,2.5,0.5,6.1,8,18.3,36,,10,0.37,501.8,7.39,2.54,,,,
"AERCA","REG",1990,11,13,1778,317,5.21,-5.3,6.1,2,1,3.3,0.3,11.3,13,2.1,7,,1.7,0.04,3554.2,52.35,43.18,,,,
"AEREA","REG",1990,11,13,1778,317,5.17,-6.2,6.4,2,1,3.3,0.3,12.6,15,2.3,7,,2.2,0.04,2965,43.67,49.53,,,,
"AERSU","REG",1990,11,13,1778,317,5.24,-6.6,5.9,0,1,2.5,0.5,9.6,12,1.9,7,,2.2,0.07,2943.4,43.36,44.196,,,,
"AERCA","REG",1990,11,20,1785,324,4.58,-31.9,14.4,4,1.5,0.8,0.3,1.7,3,16,18,,6.1,0.19,2045.1,30.12,30.734,,,,
"AEREA","REG",1990,11,20,1785,324,4.54,-31.7,14.5,4,1,0.8,0,1.7,3,16.7,16,,6.1,0.19,1836.6,27.05,25.654,,,,
"AERSU","REG",1990,11,20,1785,324,4.44,-40.1,17.9,4,1,0.8,0,2.6,5,21.1,21,,8.3,0.22,1339.2,19.73,27.432,,,,
"AERCA","REG",1990,11,27,1792,331,4.13,-86.5,45.1,5,10,9.9,1.8,37.4,44,45.8,59,,16.1,0.41,506.4,7.46,13.97,,,,
"AEREA","REG",1990,11,27,1792,331,4.11,-88.2,45.6,5,8.5,9,1.3,37,42,43.6,61,,16.6,0.33,515.5,7.59,9.906,,,,
"AERSU","REG",1990,11,27,1792,331,4.32,-52.9,28.1,9,7.5,6.6,0.8,22.2,25,26.9,37,,8.3,0.33,305,4.49,7.112,,,,
"AERCA","REG",1990,12,5,1800,339,4.95,-16.8,9,3,1.5,4.1,0.5,18.3,22,3,12,,2.8,0,4142.5,61.02,61.468,,,,
"AEREA","REG",1990,12,5,1800,339,4.94,-15.7,9.2,8,1,4.1,0.5,17.8,22,3.3,13,,2.2,0,3510.7,51.71,53.848,,,,
"AERSU","REG",1990,12,5,1800,339,4.95,-15,8,6,1.5,3.3,0.5,15.2,18,3,11,,2.8,0,3306.6,48.71,51.054,,,,
"AERCA","REG",1990,12,11,1806,345,,,,,8,0.8,2,4.4,13,39.7,33,,18.3,0.48,58.9,0.87,0,,,,
"AEREA","REG",1990,12,11,1806,345,,,,,9.5,1.6,2.3,6.5,20,36.9,32,,16.6,0.63,38.1,0.56,0,,,,
"AERCA","REG",1990,12,18,1813,352,4.59,-35.8,16.5,7,3.5,2.5,0.8,9.1,9,20.1,21,,5.5,0.15,2236.4,32.94,32.512,,,,
"AEREA","REG",1990,12,18,1813,352,4.57,-37,16.4,6,3,2.5,1,9.1,10,19.3,19,,5,0.11,2113.9,31.14,27.178,,,,
"AERSU","REG",1990,12,18,1813,352,4.68,-27.8,12.6,2,2.5,0.8,0.8,3,4,13.8,18,,4.4,0.07,1832.5,26.99,15.494,,,,
"AERCA","REG",1990,12,25,1820,359,4.57,-32.7,15.3,4,0.5,1.6,0.5,6.5,10,14.2,21,,3.3,0.3,3674.1,54.12,53.848,,,,
"AEREA","REG",1990,12,25,1820,359,4.55,-37.5,16.1,4,0.5,2.5,0.3,9.1,12,13.1,22,,3.3,0.15,3971,58.49,55.626,,,,
"AERSU","REG",1990,12,25,1820,359,4.67,-28.3,12.3,4,0.5,1.6,0.3,5.2,7,9.2,17,,3.9,1,2825,41.61,34.798,,,,
"AERCA","REG",1991,1,2,1828,2,4.66,-32.8,15,3,1,0.8,0.5,1.7,4,18.4,17,0,1.1,0.07,931.3,13.72,17.272,,,,
"AEREA","REG",1991,1,2,1828,2,4.55,-36.7,16.4,4,1.5,0.8,0,3,6,19.2,18,0,1.7,0.07,897.8,13.22,16.51,,,,
"AERSU","REG",1991,1,2,1828,2,4.62,-33.4,14.8,3,1.5,0.8,0.3,1.7,5,19.3,15,0,0.6,0.07,675.1,9.94,10.16,,,,
"AERCA","REG",1991,1,8,1834,8,,,,,,,,,,,,,,,90.2,1.33,2.54,,,,
"AERCA","REG",1991,1,15,1841,15,5.08,-14.6,5.9,10,2.5,0.8,0.5,3.5,5,5.6,4,2.13,3.3,0.11,1394.3,20.54,36.322,,,,
"AEREA","REG",1991,1,15,1841,15,5.1,-13,5.2,6,1,0.8,0.8,2.6,3,5.3,4,2.13,2.8,0.07,1272.9,18.75,24.638,,,,
"AERSU","REG",1991,1,15,1841,15,5.34,-7.2,3.3,10,1.5,0.8,1,1.7,2,2.4,2,2.13,2.8,0.04,1534.1,22.6,24.638,,,,
"AERCA","REG",1991,1,22,1848,22,4.74,-27.1,11.1,1,1.5,0.8,0.5,4.8,5,10.5,14,2.85,4.4,0,1779.8,26.22,27.94,,,,
"AEREA","REG",1991,1,22,1848,22,4.74,-26.1,11.3,2,2,0.8,0.3,4.8,7,10.8,14,0,3.9,0.04,1681,24.76,25.146,,,,
"AERSU","REG",1991,1,22,1848,22,4.8,-23.5,9.9,3,2,0.8,0,3.5,5,8.3,13,0,3.9,0,1485.3,21.88,19.812,,,,
"AERCA","REG",1991,1,29,1855,29,4.41,-54.8,27.9,10,6,9.9,1.5,40.9,42,46.5,25,3.91,12.2,0.15,299.7,4.41,3.81,,,,
"AEREA","REG",1991,1,29,1855,29,4.4,-54.5,26.6,6,4,8.2,1.5,32.2,35,43,23,4.27,11.6,0.22,317.1,4.67,3.81,,,,
"AERCA","REG",1991,2,5,1862,36,4.4,-53.7,21.3,3,2,1.6,0.8,8.3,12,21.4,30,4.27,7.2,0.11,1345.9,19.82,18.034,,,,
"AEREA","REG",1991,2,5,1862,36,4.44,-48.9,19.4,3,1.5,1.6,1.3,8.3,11,18.1,26,3.91,6.6,0.04,1469.2,21.64,19.304,,,,
"AERSU","REG",1991,2,5,1862,36,4.35,-60.8,23.9,2,1.5,1.6,0.8,9.1,13,22.5,33,3.91,8.3,0.15,884.3,13.03,3.81,,,,
"AERCA","REG",1991,2,12,1869,43,4.44,-54.4,25.8,6,11.5,2.5,1.3,13.5,21,29,42,3.91,17.2,0.63,251.3,3.7,4.318,,,,
"AEREA","REG",1991,2,12,1869,43,4.39,-51,23.7,9,8.5,2.5,1,11.7,16,25.7,41,3.56,17.2,0.37,244.5,3.6,20.32,,,,
"AERSU","REG",1991,2,12,1869,43,4.45,,22.4,12,6.5,1.6,0.8,9.1,13,23.3,36,3.56,15,0.44,173.2,2.55,3.81,,,,
"AERCA","REG",1991,2,20,1877,51,4.49,-46,19,8,2.5,1.6,0.8,5.7,7,17.1,24,0,5,0.19,1613.7,23.77,20.32,,,,
"AEREA","REG",1991,2,20,1877,51,4.41,-53.3,22.1,4,4,1.6,1,6.1,8,22.2,32,0,5.5,0.11,1345.5,19.82,4.826,,,,
"AERSU","REG",1991,2,20,1877,51,4.54,-40.8,16.4,6,2.5,1.6,2,7.8,7,16.4,26,0,4.4,0.11,1253.4,18.46,9.906,,,,
"AERCA","REG",1991,2,26,1883,57,,,,,,,,,,,,,,,36.8,0.54,1.27,,,,
"AERCA","REG",1991,3,6,1891,65,4.44,-47.8,22.1,3,4,2.5,1,10,12,22.5,32,0,10.5,0.04,1772.9,26.11,44.958,,,,
"AEREA","REG",1991,3,6,1891,65,4.45,-46.6,21.6,5,3.5,3.3,1,11.7,11,23.2,32,0,10,0,1996.7,29.41,45.466,,,,
"AERSU","REG",1991,3,6,1891,65,4.43,-47.7,22.3,3,4.5,2.5,0.5,7.8,10,23.9,32,0,11.6,0,1307.2,19.25,31.242,,,,
"AERCA","REG",1991,3,12,1897,71,4.96,-11.6,7.4,6,0.5,1.6,0.3,5.7,7,4.6,11,0,2.2,0.11,3191.5,47.01,59.69,,,,
"AEREA","REG",1991,3,12,1897,71,4.96,-15.3,8.2,4,0.5,1.6,0.3,5.7,7,5.2,13,0,2.2,0.11,2460.7,36.25,52.832,,,,
"AERSU","REG",1991,3,12,1897,71,4.93,-14.7,8.2,6,0.5,0.8,0.3,4.8,7,3.9,12,0,1.7,0.04,2010.2,29.61,44.704,,,,
"AERCA","REG",1991,3,21,1906,80,5.21,-8.5,4.3,3,1.5,0.8,0.3,2.6,5,2.2,5,1.07,2.2,0.04,2557.9,37.68,35.052,,,,
"AEREA","REG",1991,3,21,1906,80,5.25,-7.1,4.5,4,1,0.8,0.3,3,5,2.2,5,0,2.8,0,2468.3,36.36,35.306,,,,
"AERSU","REG",1991,3,21,1906,80,5.34,-7.3,4.1,3,1,0.8,0.5,2.2,5,1.6,5,0.36,1.7,0,2135.6,31.46,34.798,,,,
"AERCA","REG",1991,3,26,1911,85,5.2,-6.9,5,4,2,1.6,0,5.7,8,3.5,5,0,1.1,0.11,1059.4,15.6,14.478,,,,
"AEREA","REG",1991,3,26,1911,85,5.18,-6.6,5.1,5,2.5,1.6,0.3,4.8,9,3.7,5,0,1.1,0.04,848.7,12.5,12.954,,,,
"AERSU","REG",1991,3,26,1911,85,5.18,-8,5,6,2,1.6,0,5.2,8,3.2,5,0,2.2,0.07,1126.4,16.59,14.478,,,,
"AERCA","REG",1991,4,2,1918,92,4.54,-40.2,18.5,6,2.5,0.8,0.8,4.4,6,11.1,32,0,12.7,0.19,939.2,13.83,18.034,,,,
"AEREA","REG",1991,4,2,1918,92,4.53,-41.1,18.8,6,2.5,0.8,0.8,5.7,7,11.4,33,0,12.7,0.19,948.1,13.97,14.986,,,,
"AERSU","REG",1991,4,2,1918,92,4.63,-31.9,14.9,6,2,0.8,0.5,2.6,5,8.7,26,0,10.5,0.11,731.7,10.78,10.668,,,,
"AERCA","REG",1991,4,9,1925,99,4.44,-48,27.9,17,7.5,2.5,1.8,4.4,6,37.8,77,0,69.8,0.48,1457.8,21.47,18.034,,,,
"AEREA","REG",1991,4,9,1925,99,4.37,-51.4,28.1,15,7.5,2.5,1.3,3.5,6,37.1,75,0,70.9,0.44,1325.2,19.52,17.78,,,,
"AERSU","REG",1991,4,9,1925,99,4.43,-46.8,26.6,15,7,2.5,1.3,3,5,33.1,68,0,68.1,0.44,1370.5,20.19,18.796,,,,
"AERCA","REG",1991,4,16,1932,106,4.3,-62.9,29.2,11,2.5,0.8,1,2.6,5,25.5,48,0.71,15,0.37,1590.8,23.43,15.24,,,,
"AEREA","REG",1991,4,16,1932,106,4.31,-65.1,29.3,6,2.5,0.8,1,4.4,6,25.6,48,0,16.1,0.26,1394.6,20.54,14.986,,,,
"AERSU","REG",1991,4,16,1932,106,4.3,-65.2,29.1,14,3,0.8,1,3.5,6,25,48,0,15.5,0.33,1263.8,18.62,13.716,,,,
"AERCA","REG",1991,4,23,1939,113,5.08,-11.6,5.8,2,0.5,0.8,0.5,2.2,4,3,9,0,2.2,0.04,2728.8,40.19,46.228,,,,
"AEREA","REG",1991,4,23,1939,113,5.08,-11,5.2,6,0.5,0.8,0.3,1.7,4,3.3,8,0,1.1,0.04,2364.7,34.83,37.592,,,,
"AERSU","REG",1991,4,23,1939,113,5.11,-9,4.8,3,1,0,0,1.3,3,2.4,7,0,1.1,0,2100.3,30.94,31.242,,,,
"AERCA","REG",1991,4,30,1946,120,,,,,,,,,,,,,,,,,0,,,,
"AERCA","REG",1991,5,7,1953,127,4.61,-24,12.9,4,4,0.8,0.5,2.6,6,13.1,23,0.71,6.1,0.15,3070.1,45.22,40.894,,,,
"AEREA","REG",1991,5,7,1953,127,4.61,-27.1,13.3,4,3.5,1.6,0.5,3,6,13.5,23,0.36,5.5,0.26,2790,41.1,41.148,,,,
"AERSU","REG",1991,5,7,1953,127,4.63,-23.5,11.9,3,3,0.8,0,2.2,4,11.4,20,0.36,4.4,0.15,2603.6,38.35,35.052,,,,
"AERCA","REG",1991,5,21,1967,141,4.11,-87.5,40.8,14,6.5,2.5,1,0.9,4,32.8,85,0,29.4,0.41,1206,17.76,16.51,,,,
"AEREA","REG",1991,5,21,1967,141,4.12,-86.5,39.7,16,5.5,1.6,1,0.9,3,30,80,0,24.9,0.3,1121,16.51,15.748,,,,
"AERCA","REG",1991,5,28,1974,148,5.01,-10.6,5.8,5,1,0.8,0.5,0.4,2,4.3,8,0,1.7,0,2303.4,33.93,34.544,,,,
"AEREA","REG",1991,5,28,1974,148,4.97,-12.2,6,3,1,0,0.3,0.4,1,4.8,9,0,1.1,0.04,2372,34.94,35.306,,,,
"AERCA","REG",1991,6,4,1981,155,4.42,-44.4,21.6,6,4.5,0.8,0.8,0.9,2,15.6,42,0,12.2,0,879.8,12.96,12.7,,,,
"AEREA","REG",1991,6,4,1981,155,4.4,-46,22.2,8,5,0.8,1,0.9,2,15.9,44,0,12.7,0,832.1,12.26,13.462,,,,
"AERCA","REG",1991,6,11,1988,162,,,,,,,,,,,,,,,,,0,,,,
"AERCA","REG",1991,6,18,1995,169,4.72,-19.3,11,6,2,0.8,0.5,0,1,11.5,18,0,6.1,0,2518.9,37.1,35.56,,,,
"AEREA","REG",1991,6,18,1995,169,4.75,-20.4,11.2,4,2,0,0.3,0,2,11.5,19,0,6.1,0,2432,35.82,46.99,,,,
"AERSU","REG",1991,6,18,1995,169,4.73,-21.1,10.5,4,1.5,0,0.3,0,1,9.9,16,0.36,5.5,0,2192.5,32.29,26.416,,,,
"AERCA","REG",1991,6,25,2002,176,,,,,,,,,,,,,,,,,0,,,,
"AERCA","REG",1991,7,2,2009,183,4.19,-75.7,37.7,9,12.5,3.3,0.8,2.2,3,26.6,92,0,34.3,0.52,847.1,12.48,10.414,,,,
"AEREA","REG",1991,7,2,2009,183,4.2,-75,38.2,11,12,3.3,0.5,1.7,3,25.4,92,0,36,0.48,756.6,11.14,10.668,,,,
"AERSU","REG",1991,7,2,2009,183,4.2,-75.9,38.1,11,12.5,3.3,1.5,3.5,4,25.6,90,0,33.2,0.48,800.2,11.79,11.176,,,,
"AERCA","REG",1991,7,9,2016,190,,,95.1,,6,2.5,1.5,2.6,11,87.3,168,1.07,34.9,1.04,150.2,2.21,2.794,,,,
"AEREA","REG",1991,7,9,2016,190,,,106,,6.5,2.5,1.3,3,10,96.7,171,1.07,38.2,1.41,111.2,1.64,1.524,,,,
"AERSU","REG",1991,7,9,2016,190,,,103,,6,2.5,1,2.6,12,91.1,171,1.07,33.8,1.63,154.5,2.28,2.54,,,,
"AERCA","REG",1991,7,16,2023,197,4.6,-27.7,14.9,6,1.5,0,0.5,0.9,1,8.4,25,0.36,7.2,0.11,1466.1,21.6,24.892,,,,
"AEREA","REG",1991,7,16,2023,197,4.6,-30.3,16,5,0.5,0,0.3,0.4,2,8.4,27,0.36,6.6,0.15,1411.7,20.79,23.622,,,,
"AERSU","REG",1991,7,16,2023,197,4.62,-27.8,14.5,5,1,0,0,0.9,2,8.2,24,0.36,6.1,0.19,1347.8,19.85,20.828,,,,
"AERCA","REG",1991,7,23,2030,204,4.68,-24.7,12.6,8,2,0.8,0.5,0.9,3,10.2,20,0.36,6.6,0.19,643,9.47,12.192,,,,
"AEREA","REG",1991,7,23,2030,204,4.73,-21.6,11.5,6,1.5,0.8,0.3,1.3,3,8.9,17,0,5.5,0.19,667.9,9.84,10.922,,,,
"AERSU","REG",1991,7,23,2030,204,4.77,-20.1,12.4,8,2,0.8,1.8,9.6,10,9.2,19,0.36,5,0.22,546.9,8.06,9.652,,,,
"AERCA","REG",1991,7,30,2037,211,4.47,-46.8,20.9,4,2,0,0.3,1.3,2,18,38,0,12.7,0.22,1442.1,21.24,13.97,,,,
"AEREA","REG",1991,7,30,2037,211,4.5,-42.2,19.3,6,2,0.8,0.5,5.2,6,16.9,32,0,11.1,0.19,1442.9,21.25,13.97,,,,
"AERSU","REG",1991,7,30,2037,211,4.47,-42.3,20.8,7,2.5,0.8,1,7,8,17.2,37,0,12.7,0.33,1377,20.28,9.144,,,,
"AERCA","REG",1991,8,6,2044,218,5.02,-12.3,5.3,4,1,0.8,0.3,0.4,2,4,7,0,2.2,0.11,3014.4,44.4,42.926,,,,
"AEREA","REG",1991,8,6,2044,218,5.04,-11.6,5.2,3,2,0.8,0.5,0.9,4,3.8,7,0,0.6,0.15,2928.9,43.14,48.768,,,,
"AERSU","REG",1991,8,6,2044,218,5.01,-13.4,5.2,6,1.5,0.8,0,0.4,3,3.2,6,0,0.6,0.11,3033.2,44.68,41.91,,,,
"AERCA","REG",1991,8,13,2051,225,4.86,-12.9,8.2,3,0.5,0.8,0.3,2.2,7,6.4,11,0.71,1.1,0.11,3317.8,48.87,49.022,,,,
"AEREA","REG",1991,8,13,2051,225,4.86,-15.6,8.2,3,1,0.8,0,2.6,6,6.2,11,0.36,1.1,0.04,3362.6,49.53,48.006,,,,
"AERSU","REG",1991,8,13,2051,225,4.88,-14.4,7.7,3,1,0.8,0,1.7,6,6.5,11,0.71,1.1,0.07,2950.2,43.46,,,,,
"AERCA","REG",1991,8,20,2058,232,4.72,-24.7,16.8,4,3,9,1.5,39.6,48,9,20,1.07,2.2,0.11,3402.6,50.12,38.1,,,,
"AEREA","REG",1991,8,20,2058,232,4.71,-23.8,16.9,6,3,9,1.5,39.2,47,9.1,20,0.36,2.2,0.04,3183,46.88,45.212,,,,
"AERSU","REG",1991,8,20,2058,232,4.75,-22.5,15.1,5,2.5,8.2,1.3,34.4,42,8.2,18,0.36,2.2,0.07,3190.3,46.99,39.878,,,,
"AERCA","REG",1991,8,27,2065,239,4.46,-43.5,21,5,1.5,0,0.3,0.9,3,10.8,41,0,11.1,0.07,1580.9,23.29,15.494,,,,
"AEREA","REG",1991,8,27,2065,239,4.5,-36.7,18.6,4,1,0,0.3,0.9,7,10.6,35,0,9.4,0.11,1322,19.47,16.002,,,,
"AERSU","REG",1991,8,27,2065,239,4.44,-44.9,21,3,1.5,0,0.3,0.9,2,11.1,41,0,10.5,0.11,1447.8,21.33,12.954,,,,
"AERCA","REG",1991,9,3,2072,246,4.2,-72.4,34.8,4,7.5,2.5,0.5,0.4,4,28,66,1.07,19.4,0.41,310.8,4.58,5.08,,,,
"AEREA","REG",1991,9,3,2072,246,4.21,-74.8,33.5,4,5,1.6,0.3,0.9,4,21.5,68,1.07,20.5,0.22,552.3,8.14,5.08,,,,
"AERSU","REG",1991,9,3,2072,246,4.28,-62.2,28.9,,6.5,2.5,0.5,0.9,4,23.9,53,0.71,16.1,0.22,272.3,4.01,5.842,,,,
"AERCA","REG",1991,9,10,2079,253,,,,,6,1.6,0.5,2.6,6,20.6,57,0,3.9,0.19,81.1,1.19,2.032,,,,
"AEREA","REG",1991,9,10,2079,253,,,,,4,0.8,0.3,1.7,3,19.9,54,0,3.9,0.15,71.8,1.06,2.032,,,,
"AERSU","REG",1991,9,10,2079,253,,,,,5.5,1.6,0.8,1.7,7,15,39,0,0,0.26,59.6,0.88,0,,,,
"AERCA","REG",1991,9,17,2086,260,4.46,-41,15,107,4.5,0.8,0,2.6,7,5.1,27,1.07,0,0.3,679.3,10.01,11.684,,,,
"AEREA","REG",1991,9,17,2086,260,4.45,-42,17.8,4,1.5,0.8,0,2.6,4,16.3,27,0,3.3,0.11,665.1,9.8,8.636,,,,
"AERSU","REG",1991,9,17,2086,260,4.47,-40.4,17.4,3,2,0.8,0,2.2,4,15.7,26,0,3.3,0.19,517,7.62,6.604,,,,
"AERCA","REG",1991,9,24,2093,267,4.53,-38.7,18.2,5,3.5,3.3,1,7.4,9,17.4,29,0,6.1,0.3,2302,33.91,31.75,,,,
"AEREA","REG",1991,9,24,2093,267,4.51,-39.9,17.4,5,2,2.5,0.5,8.7,11,16.7,26,0,5.5,0.33,2233.1,32.89,32.512,,,,
"AERSU","REG",1991,9,24,2093,267,4.54,-37.3,15.8,5,2.5,1.6,0.5,5.7,7,14.7,26,0,5.5,0.33,2131.3,31.39,27.432,,,,
"AERCA","REG",1991,10,1,2100,274,5.67,-2.4,3.7,6,4,2.5,4.9,4.8,7,2.9,5,0,0,0.07,6990,102.96,97.536,,,,
"AEREA","REG",1991,10,1,2100,274,5.15,-10.4,5.1,2,1.5,1.6,0,5.2,7,3.5,6,0,0.6,0.22,6682,98.42,99.822,,,,
"AERSU","REG",1991,10,1,2100,274,5.05,-13.5,5.8,1,1,0.8,0,4.8,6,4.3,8,0,1.1,0.11,3724,54.85,76.962,,,,
"AERCA","REG",1991,10,8,2107,281,4.43,-48,23,7,5.5,4.1,0.8,15.7,19,19,42,2.13,10,0.26,2980.6,43.9,36.068,,,,
"AEREA","REG",1991,10,8,2107,281,4.49,-41.4,22.8,8,9.5,9,6.1,19.6,22,21.1,45,2.13,9.4,0.15,2899.6,42.71,39.37,,,,
"AERSU","REG",1991,10,8,2107,281,4.43,-47.3,21.9,5,5,4.1,0,13.9,17,17.5,39,1.78,9.4,0.19,2675.3,39.41,35.306,,,,
"AERCA","REG",1991,10,15,2114,288,4.8,-21.2,14.7,15,13.5,12.3,2.8,15.7,21,13.8,31,0.36,6.6,0.26,1192.8,17.57,17.78,,,,
"AEREA","REG",1991,10,15,2114,288,4.53,-39.4,18.1,4,2,4.1,0,15.2,19,13,30,0,6.1,0.22,1137,16.75,13.716,,,,
"AERSU","REG",1991,10,15,2114,288,4.58,-35.1,16,5,1.5,2.5,0,10,14,11.1,27,0,6.1,0.3,1094.9,16.13,14.224,,,,
"AERCA","REG",1991,10,22,2121,295,4.87,-18.2,14.7,10,11.5,14,3.3,27.8,35,12.3,26,1.42,3.9,0.11,2668.1,39.3,38.862,,,,
"AEREA","REG",1991,10,22,2121,295,4.6,-32.6,17.4,3,2,6.6,1,27.4,35,11.8,26,0.36,6.1,0.22,2667.7,39.29,33.274,,,,
"AERSU","REG",1991,10,22,2121,295,4.61,-31.5,16.2,3,2,4.9,0.5,21.8,27,11.6,24,0,5.5,0.15,2006.1,29.55,22.606,,,,
"AERCA","REG",1991,10,29,2128,302,4.61,-33,11,5,1,0.8,0,1.7,3,8.8,23,1.42,4.4,0.15,803.6,11.84,12.954,,,,
"AEREA","REG",1991,10,29,2128,302,4.74,-22.9,12.8,4,4.5,3.3,3.6,2.2,2,9,24,1.42,3.9,0.11,765.3,11.27,13.97,,,,
"AERSU","REG",1991,10,29,2128,302,4.59,-31.4,12.5,7,1,0.8,0,1.7,4,8.3,22,1.07,5,0.26,735.3,10.83,12.7,,,,
"AERCA","REG",1991,11,5,2135,309,5.25,-6.3,4.8,6,2,2.5,0.5,9.1,13,2,4,0,1.1,0.11,1600.6,23.58,27.686,,,,
"AEREA","REG",1991,11,5,2135,309,5.17,-8.1,4.8,2,1,1.6,0.3,7.8,11,2.4,5,0.36,0.6,0.11,1738.8,25.61,25.146,,,,
"AERSU","REG",1991,11,5,2135,309,5.26,-6.1,3.9,5,1,1.6,0.3,6.1,8,1.4,3,0,0.6,0.07,1144,16.85,17.018,,,,
"AERCA","REG",1991,11,12,2142,316,5.2,-9.4,5.5,3,4.5,1.6,0.3,4.8,9,3.5,8,0,2.2,0.07,1213.6,17.88,19.05,,,,
