"year","month","H2O_mm","H_eq_ha","Ca_eq_ha","Mg_eq_ha","K_eq_ha","Na_eq_ha","Cl_eq_ha","NO3_eq_ha","NH4_eq_ha","SO4_eq_ha"
2006,3,38.2,15.7,2.1,0.6,0.5,3.6,3.9,14.7,6.3,11.6
2006,4,57.2,15.6,1.9,0.6,0.5,5.1,4.8,10.9,7.9,14.2
2006,5,143,13.3,3.8,4.5,1.9,13.6,15.2,8.7,13.3,20.1
2006,6,263,23.6,6.6,10.5,3.4,10.4,9.4,10.9,10,19.2
2006,7,91.4,27.6,2.7,3.7,2.1,10,10.1,15.5,20.8,29.2
2006,8,339,58.5,8.5,13.6,4.9,13.4,13.8,23.7,26.5,61
2006,9,95.4,12,2.4,3.8,1.2,2.5,3.1,4.4,6.9,15.3
2006,10,201,8.2,17.8,15,19.4,19.2,23.9,14,11.9,27.9
2006,11,179,17.3,4.5,7.2,2.3,14.4,17.6,11.6,8.5,15.8
2006,12,92.4,23,2.8,6,1.2,23.5,27,17.3,5.9,15.1
2007,1,116,12.9,0,0,0,6.2,8.2,7.8,0,8.4
2007,2,59.1,5.4,0,0,0,2.5,3.2,3.1,0,3.4
2007,3,140,27.3,1.8,0,0,17.3,21.8,16.5,11.1,24.1
2007,4,191,18.6,0.6,1.1,0,11.2,11.5,7.7,5.5,16.1
2007,5,112,15.7,2,0,0,3.5,5.1,7.5,5.5,17.6
2007,6,53.7,7.8,0,0,0,3.8,4.3,3.4,5.5,8.6
2007,7,132,17.8,2.9,0,0.2,0,3.8,20.1,22.2,48.9
2007,8,68.8,27.6,2.7,0,0,0,1.6,13.5,11.1,26.9
2007,9,67.2,16.5,1,0,0,2.1,3.4,7.3,5.5,16.3
2007,10,144,9.7,0,0,0,0,2.7,3.2,0,8.9
2007,11,181,32.4,3.1,4.2,0,17.4,22.3,17.1,11.1,29
2007,12,50.5,,,,,,,,,
2008,1,83.3,9.1,2.5,0,1.5,9.4,10.8,5.1,0,7
2008,2,259,29.5,0,0,0,46.5,34.6,17.8,11.1,35.4
2008,3,134,11.9,0,0,2,8.2,8.4,7.1,0,8.5
2008,4,142,19.8,8,5.6,0.3,25.4,27.8,18.2,16.6,29.5
2008,5,17.9,6.2,1.8,0,0.2,0.9,1,5.3,5.5,8.6
2008,6,51.1,19.9,3.6,2.5,0,2.9,3,12.3,11.1,22
2008,7,11.6,5.4,0.5,0,0,0.6,1.3,2.9,0,4.7
2008,8,234,51.9,0,0,0.6,6.1,8,25,33.3,53.1
2008,9,351,28.4,0.8,0,1.8,16.1,21.2,9.1,5.5,21.2
2008,10,51.2,10.7,0,0,0,2.2,2.3,5.6,5.5,10.7
2008,11,122,8.6,2.8,13.7,5.7,67,76.3,5.2,0,15.6
2008,12,134,9.3,0,7.7,2.1,39.8,40.3,6.9,0,12.4
2009,1,,,,,,,,,,
2009,2,,,,,,,,,,
2009,3,10,1.5,0.4,0.4,0,1.5,1.7,0.8,0,1.7
2009,4,174,10.6,1.8,3,0,16.2,21.1,5.1,0,12.2
2009,5,51,6.6,1.8,0,0.8,4.9,4.1,5.6,5.5,8.2
2009,6,38,2.9,0.7,0.4,0.5,2.6,3.1,2.5,0,3.3
2009,7,118,7.7,1.3,0,2.5,3.3,3,7.6,11.1,12.2
2009,8,14,3.2,0.6,0,0,0.4,0.3,1.9,0,3.5
2009,9,182,14,0,0,2.7,9,7.4,5.2,5.5,11.2
2009,10,167,13.3,0,0,0,8.1,8.6,7,0,10.3
2009,11,99,5.5,0.2,5.3,0.1,22.9,26.6,2.6,0,6.6
2009,12,108,7.9,0,0,0,6.1,6.6,4.9,0,6.5
2010,1,62,5,0,0,0,9.2,9.3,3,0,4.6
2010,2,67.2,4,0,3.3,0,15.5,18.1,2.6,0,4.2
2010,3,66.2,5.4,0,0,2.4,8.6,9.9,2.3,0,4.6
2010,4,190,12.3,5,5.7,0,29.1,34.9,10,5.5,16.6
2010,5,53.9,5.8,4.7,0,0,1.5,1.5,10.1,11.1,11.9
2010,6,156,20.7,0,0,0,0,0,14.6,11.1,19.3
2010,8,41,7,0,0,0,0,0,4.1,0,4.5
2010,9,142,11.8,0,0,0,14.2,14.2,7.2,0,12.3
2010,10,207,15.8,6.1,5.5,5.8,35.9,38.7,13,0,18.7
2010,11,126,5.9,0,0,0,11.5,11.4,3,0,5.2
2010,12,210,14,0,6.9,0,38.9,40.5,9,0,12.5
2011,1,78.8,5.7,0.5,0,0,6.2,6.4,4.3,0,3.8
2011,2,119,17,5,0,0,5.1,4.5,13.5,5.5,14.4
2011,3,107,7.7,2.7,9.7,0,44.6,49.2,5.2,0,9.6
2011,4,126,11,2.2,2.8,0,14,15.1,5.2,0,10.7
2011,5,138,11.1,8.4,1.4,0.4,8.9,9.6,15.8,16.6,19.8
2011,6,54.5,4.9,4.6,0,0.2,1.4,1.9,9.9,11.1,11.8
2011,7,18,2.7,0.8,0,0,0,0.5,2.7,0,2.5
2011,8,222,29.3,0,0,0,3.3,3.1,16.3,5.5,25.4
2011,9,96.5,10.6,5.2,13.2,1.7,58.8,65.9,9.8,5.5,18.3
