"site","watershed","ISCO_number","record_type","year","month","day","hour","season","julian_day","running_day_of_project","Ca_ueq_L","nmCa_ueq_L","Mg_flag","Mg_ueq_L","nmMg_ueq_L","K_flag","K_ueq_L","nmK_ueq_L","Na_ueq_L","nmNa_ueq_L","Si_flag","Si_mg_L","NH4_flag","NH4_ueq_L","Al_flag","Al_ppb","Al_org_flag","Al_org_ppb","total_N_flag","total_N_ppm","Cl_ueq_L","SO4_ueq_L","nmSO4_ueq_L","NO3_flag","NO3_ueq_L","DOC_flag","DOC_mg_L","DIC_flag","DIC_mg_L","ANC_ueq_L","sp_conductance_us_cm","discharge_L_sec","H_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll","apparent_color_flag","apparent_color_PCU","true_color_flag","true_color_PCU","total_P_flag","total_P_ppb","Comment"
"EB8","EB","14","ISCO",1996,12,11,16,"WINTER",346.7,3998.67,99,96,"",34,21,"",7.7,6,77,18,"",1.8,"<DL",1.4,,"724","","","",,68,83,76,"",1,"",2.3,"",,-11.2,20,4.699,17.4,,,4.76,,"","<RL",4,"",,"",,""
"EB8","EB","17","ISCO",1996,12,11,22,"WINTER",346.9,3998.92,99,96,"",33,20,"",7.4,6,77,21,"",1.8,"<DL",1.4,,"740","","","",,66,85,78,"<RL",0.4,"",2.1,"",,-11.9,20,4.699,18.2,,,4.74,,"","<RL",3,"",,"",,""
"EB8","EB","4","ISCO",1996,12,13,16,"WINTER",348.7,4000.67,60,58,"",21,7,"",3.8,2,77,12,"",1.3,"<DL",1.4,,"155","","","",,75,92,84,"<DL",0.05,"",1.6,"",,-0.5,21.3,3.51,3.89,,,5.41,,"","<RL",4,"",,"",,""
"WB3","WB","4","ISCO",1996,12,13,16,"WINTER",348.7,4000.67,105,102,"",36,20,"",6.6,5,85,13,"",2.3,"<DL",1.4,,"548","","","",,84,180,171,"",28.7,"",1.3,"",,-8.5,36.6,3.142,11.5,,,4.94,,"","<RL",2,"",,"",,""
"EB8","EB","6","ISCO",1996,12,15,16,"WINTER",350.7,4002.67,62,59,"",21,7,"",3.8,2,77,12,"",1.9,"<DL",1.4,,"149","","","",,76,93,85,"<DL",0.05,"",1.6,"",,-0.4,21.5,3.142,3.55,,,5.45,,"","<RL",4,"",,"",,""
"WB3","WB","6","ISCO",1996,12,15,16,"WINTER",350.7,4002.67,103,100,"",36,20,"",6.4,5,85,12,"",1,"<DL",1.4,,"380","","","",,85,173,164,"",27.1,"",1.3,"",,-9.3,35.8,2.831,10,,,5,,"","<RL",3,"",,"",,""
"WB3","WB","S","REG",1996,12,17,11,"WINTER",352.5,4004.46,103,100,"",35,19,"",6.6,5,84,13,"",1.5,"<DL",1.4,,"648","","","",0.4,83,170,161,"",27,"",1.4,"",1.1,-10.2,35.8,3.426,11.2,3.2,4.91,4.95,,"","<RL",2,"",,"",2.3,""
"WB3","WB","S","REP",1996,12,17,11,"WINTER",352.5,4004.46,102,99,"",35,19,"",6.6,5,84,14,"",1.5,"<DL",1.4,,"612","","","",0.4,82,169,161,"",26.8,"",1.4,"",1.1,-12.4,35.8,3.426,11.2,,,4.95,,"4.94","<RL",2,"",,"",,""
"EB8","EB","S","DUP",1996,12,17,12,"WINTER",352.5,4004.5,59,56,"",21,7,"",4.1,3,76,14,"",1.7,"<DL",1.4,,"160","","","<DL",0,72,92,85,"<DL",0.05,"",1.8,"",1.1,-0.1,20.9,5.634,3.63,6.83,5.29,5.44,,"","<RL",5,"",,"",5.5,""
"EB8","EB","S","REG",1996,12,17,12,"WINTER",352.5,4004.5,59,57,"",21,7,"",3.8,2,76,14,"",1.7,"<DL",1.4,,"155","","","<DL",0,72,91,84,"<DL",0.05,"",1.9,"",1.1,-0.3,20.9,5.634,3.72,7.24,5.3,5.43,,"","<RL",4,"",,"",3.2,""
"EB8","EB","5","ISCO",1996,12,17,24,"WINTER",353,4005,51,48,"",18,5,"",4.1,3,69,13,"",1.5,"<DL",1.4,,"270","","","",,65,86,79,"",1.5,"",3.3,"",,-3.1,19.8,49.259,6.92,,,5.16,,"","",10,"",,"",,""
"WB3","WB","5","ISCO",1996,12,17,24,"WINTER",353,4005,98,95,"",32,17,"",6.9,5,77,12,"",1.9,"<DL",1.4,,"892","","","",,76,201,193,"",39.1,"",2.4,"",,-14.1,39.3,40.766,15.5,,,4.81,,"","<RL",4,"",,"",,""
"EB8","EB","10","ISCO",1996,12,18,10,"WINTER",353.4,4005.42,53,50,"",19,6,"",3.8,3,71,14,"",1.5,"<DL",1.4,,"251","","","",,66,88,81,"<RL",0.7,"",2.5,"",,-2.6,20.1,23.526,6.17,,,5.21,,"","",6,"",,"",,""
"WB3","WB","10","ISCO",1996,12,18,10,"WINTER",353.4,4005.42,98,95,"",32,17,"",6.6,5,79,11,"",1.9,"<DL",1.4,,"876","","","",,79,204,196,"",39.8,"",2,"",,-11.3,39.1,21.261,14.5,,,4.84,,"","<RL",3,"",,"",,""
"EB8","EB","16","ISCO",1996,12,18,24,"WINTER",354,4006,51,49,"",18,6,"",3.8,3,70,17,"",1.5,"<DL",1.4,,"274","","","",,62,84,78,"<RL",0.9,"",3,"",,-2.5,20,12.485,5.89,,,5.23,,"","",10,"",,"",,""
"WB3","WB","16","ISCO",1996,12,18,24,"WINTER",354,4006,95,92,"",31,17,"",6.9,5,77,13,"",1.9,"<DL",1.4,,"776","","","",,75,193,185,"",35.7,"",2.1,"",,-12.3,37.4,10.984,14.8,,,4.83,,"","<RL",4,"",,"",,""
"EB8","EB","19","ISCO",1996,12,20,6,"WINTER",355.3,4007.25,49,47,"",18,6,"",3.8,3,69,18,"",1.5,"<DL",1.4,,"277","","","",,60,83,77,"<RL",0.9,"",3.1,"",,-3.7,19.8,44.447,6.76,,,5.17,,"","",8,"",,"",,""
"WB3","WB","19","ISCO",1996,12,20,6,"WINTER",355.3,4007.25,92,89,"",30,16,"",6.6,5,77,13,"",1.9,"<DL",1.4,,"972","","","",,74,201,193,"",37.5,"",2.2,"",,-14,39,37.086,17,,,4.77,,"","<RL",3,"",,"",,""
"EB8","EB","23","ISCO",1996,12,20,14,"WINTER",355.6,4007.58,50,48,"",19,7,"",3.6,2,70,16,"",1.5,"<DL",1.4,,"254","","","",,63,87,80,"<RL",0.5,"",2.5,"",,-3.4,19.7,22.705,5.75,,,5.24,,"","",6,"",,"",,""
"WB3","WB","23","ISCO",1996,12,20,14,"WINTER",355.6,4007.58,94,91,"",31,17,"",6.6,5,78,14,"",2,"<DL",1.4,,"912","","","",,75,200,192,"",36.6,"",2.1,"",,-12.5,38.8,20.1,14.8,,,4.83,,"","<RL",3,"",,"",,""
"WB3","WB","S","DUP",1996,12,23,10,"WINTER",358.4,4010.42,97,94,"",34,18,"",6.6,5,80,10,"",2.4,"<DL",1.4,,"816","","","",0.42,82,179,171,"",29.9,"",2.1,"<RL",0.4,-8.2,36.6,4.275,11.5,1.01,4.85,4.94,,"","<RL",1,"",,"",3.2,""
"WB3","WB","S","REG",1996,12,23,10,"WINTER",358.4,4010.42,97,94,"",34,18,"",6.6,5,80,12,"",2.3,"<DL",1.4,,"792","","","",0.42,80,183,175,"",30.4,"",2.1,"<RL",0.4,-7.7,36.5,4.275,11.7,1.05,4.87,4.93,,"","<RL",1,"",,"",2.4,""
"EB8","EB","S","REG",1996,12,23,11,"WINTER",358.5,4010.46,57,54,"",20,6,"",3.8,3,73,12,"",1.7,"<DL",1.4,,"156","","","<DL",0,71,92,85,"<RL",0.4,"",2.5,"<RL",0.4,-1,20.4,4.699,3.98,3.15,5.34,5.4,,"","<RL",3,"",,"",4,""
"EB8","EB","S","REP",1996,12,23,11,"WINTER",358.5,4010.46,57,54,"",20,6,"",3.8,3,72,12,"",1.8,"<DL",1.4,,"162","","","<DL",0,70,91,84,"<RL",0.4,"",2.4,"",0.5,-0.8,20.4,4.699,4.17,,,5.38,,"5.29","<RL",3,"",,"",,""
"EB8","EB","3","ISCO",1996,12,25,4,"WINTER",360.2,4012.17,56,53,"",18,4,"",4.1,3,74,11,"",1.6,"<DL",1.4,,"188","","","",,73,87,79,"",1.3,"",3,"",,-7.4,20.5,28.876,6.46,,,5.19,,"","",8,"",,"",,""
"WB3","WB","3","ISCO",1996,12,25,4,"WINTER",360.2,4012.17,98,95,"",30,15,"",6.9,5,80,14,"",1.9,"<DL",1.4,,"672","","","",,78,180,172,"",31.7,"",1.9,"",,-11.9,36.5,19.675,13.8,,,4.86,,"","<RL",5,"",,"",,""
"EB8","EB","5","ISCO",1996,12,25,8,"WINTER",360.3,4012.33,55,52,"",17,3,"",3.8,2,72,10,"",1.6,"<DL",1.4,,"230","","","",,72,87,80,"",1.5,"",2.9,"",,-5.2,20.9,27.829,6.46,,,5.19,,"","",6,"",,"",,""
"WB3","WB","5","ISCO",1996,12,25,8,"WINTER",360.3,4012.33,97,94,"",30,14,"",6.6,5,79,12,"",1.9,"<DL",1.4,,"788","","","",,78,191,183,"",34.4,"",1.8,"",,-12.1,37.6,20.695,13.8,,,4.86,,"","<RL",4,"",,"",,""
"EB8","EB","11","ISCO",1996,12,27,16,"WINTER",362.7,4014.67,58,55,"",18,4,"",3.6,2,74,12,"",1.7,"<DL",1.4,,"178","","","",,73,91,83,"<RL",0.7,"",2.1,"",,-1.2,20.7,5.152,4.47,,,5.35,,"","<RL",4,"",,"",,""
"WB3","WB","11","ISCO",1996,12,27,16,"WINTER",362.7,4014.67,96,93,"",31,16,"",6.4,5,82,12,"",2.2,"<DL",1.4,,"616","","","",,81,179,171,"",30.2,"",1.5,"",,-7.9,35.7,4.699,11.7,,,4.93,,"","<RL",3,"",,"",,""
"WB3","WB","S","REG",1996,12,31,11,"WINTER",366.5,4018.46,106,103,"",34,17,"",6.4,5,82,9,"",2.2,"<DL",1.4,,"884","","","",0.46,85,190,181,"",36.6,"",1.6,"",0.8,-1.9,38.3,4.954,12.6,1.91,4.82,4.9,,"","<RL",4,"",,"",1.8,""
"WB3","WB","S","REP",1996,12,31,11,"WINTER",366.5,4018.46,106,103,"",33,16,"",6.4,5,82,8,"",2.2,"<DL",1.4,,"948","","","",0.46,86,190,181,"",36.6,"",1.6,"",0.9,-6.5,38.3,4.954,11.5,,,4.94,,"4.84","<RL",3,"",,"",,""
"EB8","EB","S","DUP",1996,12,31,12,"WINTER",366.5,4018.5,61,58,"",21,6,"",3.6,2,75,10,"",1.7,"<DL",1.4,,"196","","","<DL",0,76,94,86,"",1.3,"",1.9,"",0.7,2.2,20.9,5.605,4.07,3.85,5.21,5.39,,"","<RL",4,"",,"",4,""
"EB8","EB","S","REG",1996,12,31,12,"WINTER",366.5,4018.5,58,56,"",21,6,"",3.6,2,77,13,"",1.8,"<DL",1.4,,"186","","","<DL",0,75,93,85,"",1.2,"",2.1,"",0.7,-0.1,20.9,5.605,3.8,3.69,5.19,5.42,,"","<RL",4,"",,"",3,""
"WB3","WB","4","ISCO",1997,1,3,16,"WINTER",3.67,4021.67,97,94,"",34,17,"",6.1,5,81,9,"",2.4,"<DL",1.4,,"520","","","",,85,170,161,"",29.7,"",1.3,"",,-8.3,35.1,2.52,11.2,,,4.95,,"","<RL",2,"",,"",,""
"WB3","WB","S","DUP",1997,1,7,11,"WINTER",7.46,4025.46,100,97,"",34,18,"",6.1,5,82,11,"",2.5,"<DL",1.4,,"500","","","",0.38,83,164,155,"",29.8,"",1.6,"",0.6,-8,34.7,1.953,9.33,2.36,5.07,5.03,,"","<RL",2,"",,"",2.4,""
"WB3","WB","S","REG",1997,1,7,11,"WINTER",7.46,4025.46,98,95,"",35,19,"",5.9,4,81,11,"",2.5,"<DL",1.4,,"520","","","",0.38,82,165,157,"",29.4,"",1.6,"",0.6,-10,34.9,1.953,10.2,2.18,5.05,4.99,,"","<RL",1,"",,"",3.2,""
"EB8","EB","S","REG",1997,1,7,12,"WINTER",7.5,4025.5,61,59,"",21,6,"",3.6,2,76,13,"",1.9,"<DL",1.4,,"150","","","<DL",0.01,73,94,86,"",3.3,"",1.6,"",0.6,0.6,21.2,1.925,3.39,4.58,5.34,5.47,,"","<RL",2,"",,"",2.3,""
"EB8","EB","S","REP",1997,1,7,12,"WINTER",7.5,4025.5,61,59,"",21,7,"",3.6,2,75,13,"",1.9,"<DL",1.4,,"150","","","<DL",0.01,73,95,87,"",3.5,"",1.6,"",0.6,1,21.2,1.925,3.24,,,5.49,,"5.41","<RL",2,"",,"",,""
"EB8","EB","S","DUP",1997,1,14,12,"WINTER",14.5,4032.5,61,58,"",21,6,"",3.6,2,76,11,"",1.9,"<DL",1.4,,"190","","58","<RL",0.06,75,96,88,"",3.6,"",1.5,"",1.9,2.5,21.9,1.076,2.45,15.7,5.4,5.61,,"","<RL",2,"",,"<DL",0,""
"EB8","EB","S","REG",1997,1,14,12,"WINTER",14.5,4032.5,61,58,"",21,6,"",3.3,2,77,12,"",1.9,"<DL",1.4,,"200","","57","<RL",0.06,76,95,87,"",3.5,"",1.4,"",1.9,3.5,21.8,1.076,2.45,14.6,5.37,5.61,,"","<RL",2,"",,"<DL",0,""
"WB3","WB","S","REG",1997,1,14,13,"WINTER",14.54,4032.54,96,93,"",34,17,"",5.9,4,82,10,"",2.5,"<DL",1.4,,"410","","70","",0.41,84,155,146,"",27.6,"",1.2,"",1.2,-6,33.6,1.472,8.13,4.38,5.02,5.09,,"","<RL",2,"",,"<DL",0,""
"WB3","WB","S","REP",1997,1,14,13,"WINTER",14.54,4032.54,96,93,"",35,18,"",5.9,4,82,10,"",2.4,"<DL",1.4,,"420","","72","",0.41,84,155,146,"",27.4,"",1.2,"",1.2,-5.4,33.5,1.472,7.94,,,5.1,,"5.06","<RL",2,"",,"",,""
"EB8","EB","4","ISCO",1997,1,17,16,"WINTER",17.67,4035.67,58,55,"",19,5,"",4.3,3,71,10,"",1.4,"<DL",1.4,,"130","","","",,72,90,83,"",6.6,"",2,"",,,22.2,4.671,4.57,,,5.34,,"","",6,"",,"",,""
