site,watershed,ISCO_number,record_type,year,month,day,hour,season,julian_day,running_day_of_project,Ca_ueq_L,nmCa_ueq_L,Mg_flag,Mg_ueq_L,nmMg_ueq_L,K_flag,K_ueq_L,nmK_ueq_L,Na_ueq_L,nmNa_ueq_L,Si_flag,Si_mg_L,NH4_flag,NH4_ueq_L,Al_flag,Al_ppb,Al_org_flag,Al_org_ppb,total_N_flag,total_N_ppm,Cl_ueq_L,SO4_ueq_L,nmSO4_ueq_L,NO3_flag,NO3_ueq_L,DOC_flag,DOC_mg_L,DIC_flag,DIC_mg_L,ANC_ueq_L,sp_conductance_us_cm,discharge_L_sec,H_ueq_L,HCO3_ueq_L,pH_closed_cell,pH_air_eqll,pH_initial,pH_uneqll,apparent_color_flag,apparent_color_PCU,true_color_flag,true_color_PCU,total_P_flag,total_P_ppb,Comment
WB3,WB,,REG,1987,4,6,15,SPRING,96.60,461.60,85,83,,30,16,,7.9,7.0,70,7,,1.5,<DL,1.40,,188,,120,,,73,91,83,,22.5,,1.7,,,6.4,20.4,,4.17,,5.42,5.38,,,<RL,4,<RL,4,,,
WB3,WB,,REG,1987,4,7,10,SPRING,97.42,462.42,84,82,,30,15,,7.7,6.0,72,10,,1.4,<DL,1.40,,247,,120,,,73,97,89,,17.3,,1.6,,,0.2,25.7,,5.75,,5.34,5.24,,,<RL,5,,8,,,
EB3,EB,,REG,1987,4,7,11,SPRING,97.46,462.46,75,72,,26,12,,5.6,4.0,67,8,,1.2,<DL,1.40,,235,,119,,,69,87,80,,13.4,,1.9,,,-0.4,23.3,,6.92,,5.18,5.16,,,,8,,6,,,
EB3,EB,,REG,1987,4,8,11,SPRING,98.00,463.00,79,76,,26,13,,5.6,4.0,70,10,,1.1,<DL,1.40,,229,,100,,,70,89,82,,15.4,,1.8,,,2.0,23.9,,3.09,,5.38,5.51,,,<RL,5,<RL,4,,,
WB3,WB,,REG,1987,4,8,11,SPRING,98.46,463.46,87,85,,30,16,,7.7,6.0,74,10,,1.5,<DL,1.40,,218,,95,,,74,99,91,,20.6,,1.4,,,3.9,26.0,,1.91,,5.50,5.72,,,<RL,3,<RL,3,,,
EB3,EB,,REG,1987,4,9,11,SPRING,99.46,464.46,81,79,,27,13,,5.6,4.0,70,9,,1.4,<DL,1.40,,220,,107,,,72,91,84,,11.5,,1.6,,,3.7,23.8,,3.47,,5.41,5.46,,,<RL,4,<RL,1,,,
WB3,WB,,REG,1987,4,9,11,SPRING,99.46,464.46,92,89,,32,18,,7.4,6.0,73,9,,1.6,<DL,1.40,,146,,78,,,75,97,89,,17.4,,1.3,,,6.3,25.8,,1.91,,5.57,5.72,,,<RL,1,<RL,1,,,
EB3,EB,,REG,1987,4,10,11,SPRING,100.00,465.00,72,69,,28,14,,5.9,5.0,71,11,,1.5,<DL,1.40,,182,,100,,,70,91,84,,10.3,,1.6,,,5.3,24.4,,3.31,,5.48,5.48,,,<RL,1,<RL,2,,,
WB3,WB,,DUP,1987,4,10,11,SPRING,100.00,465.00,80,77,,34,20,,7.9,7.0,76,13,,2.0,<DL,1.40,,133,,70,,,73,97,89,,15.7,,,,,6.1,25.7,,2.00,,5.63,5.70,,,<RL,2,<RL,1,,,
WB3,WB,,REG,1987,4,10,11,SPRING,100.00,465.00,81,79,,32,18,,7.9,7.0,76,12,,1.7,<DL,1.40,,141,,79,,,74,97,89,,15.9,,1.4,,,6.0,25.3,,2.24,,5.63,5.65,,,<RL,1,<RL,1,,,
EB3,EB,,REG,1987,4,14,10,SPRING,104.40,469.42,77,74,,29,15,,5.9,5.0,74,14,,1.6,<DL,1.40,,148,,90,,,69,96,89,,7.3,,1.5,,,5.4,23.7,,2.51,,5.58,5.60,,,<RL,4,<RL,2,,,
WB3,WB,,REG,1987,4,14,10,SPRING,104.40,469.42,83,80,,34,20,,7.9,7.0,78,17,,2.1,<DL,1.40,,85,,53,,,72,97,90,,13.2,,1.3,,,8.5,25.2,,1.23,,5.71,5.91,,,<RL,5,<RL,1,,,
WB3,WB,,REG,1987,4,21,10,SPRING,111.40,476.42,86,83,,32,18,,8.2,7.0,84,23,,2.2,<DL,1.40,,64,,45,,,71,102,95,,3.7,,1.3,,,12.1,26.6,,1.07,,5.49,5.97,,,<RL,2,<RL,2,,,
EB3,EB,,REG,1987,4,21,11,SPRING,111.50,476.46,82,79,,28,13,,6.1,5.0,80,14,,1.7,<DL,1.40,,115,,59,,,76,102,94,,8.1,,1.6,,,19.4,25.7,,1.51,,5.68,5.82,,,<RL,2,<RL,2,,,
EB3,EB,,REG,1987,4,28,10,SPRING,118.40,483.42,89,87,,30,16,,6.1,5.0,84,22,,1.9,<DL,1.40,,105,,64,,,72,104,97,,2.3,,1.3,,,19.4,24.9,,0.62,,5.86,6.21,,,<RL,2,<RL,2,,,
WB3,WB,,REG,1987,4,28,10,SPRING,118.40,483.42,88,85,,34,19,,7.9,6.0,86,20,,2.4,<DL,1.40,,69,,51,,,77,101,93,,6.6,,1.1,,,16.7,25.4,,0.54,,5.83,6.27,,,<RL,2,<RL,2,,,
